Genotype,Position,7 spt Lbb,Ambush bug,Ant (unkn),Anthicid (blk),Anthocorid,Araniella,Asilidae,assassin,Assassin (brn),Assassin (rd/blk),Assilid,BEB,bee (brn),Beetle (anobiid),Beetle (blk/wht),Beetle (sm grn),Beetle (unkn blk),Beetle (unkn brn),Beetle (unkn nymph),big eye fly (blk/wht),Bp Chalcid,Braconid,Braconid (blk/wht),bronc beetle,Bug (flat blk/rd),Calophorid,Calophoridae (gld),Caterpiilar (unkn big/brn),Caterpillar (gnt/grn),Cercopid (brn),Cercopid (yllw),Chait (rd),Chait (grn),Cicada,Clerid (blk),Clerid (gry/blk),Clerid (rd/blk),Cocc (chkrd),Cocc (lng thin nymph),Cocc nymph (blk/orng),cocc nymph (gry),Coenagrionidae,Earwig,edge mnr ,egg on a stick,Fly (blk w/yllw abdm),Fly (blk wngs),Fly (brn/rnd),Fly (fzzy blk w drk wngs),Fly (gldn Dolicho),Fly (gry/brn hyln),Fly (hyln),Fly (lng/rd),Fly (lngthndip),fly (sm metallic),Fly (tan),Fly (tny),Fly (unkn sm),Formica spp 1,Formica spp 2,Formica spp 3,Globuli,Hemipt (bg brn),Hymenoptera (unkn.),Ichneumonid,Katydid,Lacewing (grn),Lbb (blk w 2 orng spt),Lbb (many spt),Lbb (no spot),Lf roller,Lf tier,Lfhppr (brn),Lfhppr (brnmtld),Lfhppr (fisheye),Lfhppr (grn),Lfhppr (sknk),Lfhppr (tan),Lfhppr (turq),lng blk paras,long thin nymph,mayfly,Melyrid (gry/blk),membracid,Membracid (blk/wht),Membracid (grn/blk),midge,Mirid (blk/brn),mirid (blk/wht),Mirid (brn),Mirid (brn/wht),Mirid (rd/wht),mite gall,moth (unkn wht),Muscid,Myrm ant,Nymph (unkn sm blk),Nymph (unkn yllw),Paras ,Paras (lng thin),Paras (rd),Penta (blk/wht/red nymph),Penta (brachy),Penta (nymph),Penta (Podisus),penta (rd/brn),Penta nymph (grn brn),Pentatomid (red/blk/wht),pentatomid (gry),Phylla,punkie,red mite,Salticid (blk),Salticid (blk/rd),Salticid (brn),Salticid (brnz),Salticid (gry),Salticid (zebra),Salticid(wht/blk),serp lf mnr ,Snakefly,Spider (big/brn w blk legs),Spider (Araneid blk gry),Spider (blk/wht),Spider (gry crab),Spider (lg Clubionid/Thomisid),Spider (rd/blk Lycosid),Spider (rd/wht),Spider (sm wht),Spider (unkn),Spider (yllw/brn crab),Spittle bug,Spot blotch,stem borer,Syrhpid (blk/wht big),Syrphid (lttl/yllw),Tabanid (blk/brn),T-dip,Thec. aff.,Thrip (blk),Thrip (yllw),tingid (blk),TinyT-dip,Tip  mnr,Tip roller,Vespid,Wasp (digger),Weevil (blk),Weevil (brn),Weevil (gry)
1000,S6-14 x,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,S6-14 c,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,
1000,SSG1-1 x,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
1000,SSG1-1c,,,,,1,,,,,,,6,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,,,,1,,,,,
1000,N7-6 x,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,2,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,4,,,,,,
1000,N7-6 c,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3,2,,,,,
1008,N1-31 x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,
1008,N1-31 c,,,,,,,1,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,
1008,N2-25 x,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,6,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,
1008,N2-25 c,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,6,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,3,1,,,,,
1008,S7-14 x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,
1008,S7-14 c,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,5,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,
1008,N4-14 x,,,,,,,2,,,,,9,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,
1008,N4-14 c,,,,,,,,,,,,12,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
1017,N1-16 x,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,1,,,,,,,,,,,1,2,,,,,1,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,
1017,N1-16 c,,,,,2,,,,,,,,,,,,,,,,1,1,,,,,,,,4,,,,,,,,,,,,,5,1,,,,,,2,,,,,,,,,,,1,,,,,,1,,1,,,,,,1,1,,,,,,,3,,,,,,,,,,,,1,1,,,,,,,,,,,,,,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,3,,,1,,
1017,N1-20 x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,2,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,2,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
1017,N1-20 c,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,,,,,6,,,,,,,,,,,,,,,,,,,3,,,,1,,5,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,1,5,,,,,
1017,N3-13 x,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,6,,,,,,,,2,,,,1,,,,,,,,1,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,2,4,,,,,
1017,N3-13 c,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,4,3,,,1,,,,,,,,,,1,,,,1,,,1,,,,,,,5,,,13,1,,,,,,,3,,,,3,,,,,,,,1,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,2,,,,,,4,4,,,,,
1017,N1-24 x,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,18,,,,1,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,N1-24 c,,,,,2,,,,,,,1,,,,,,,,,,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,7,,,,,,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
1020,N3-29 x,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,3,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,
1020,N3-29 c,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,2,,,,,
1020,S5-5 x,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
1020,S5-5 c,,,,,,,,,,,,12,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,S1-14 x,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,4,,,,,
1020,S1-14 c,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
1020,S7-10 x,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
1020,S7-10 c,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,
coal 3,N3-20 x,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
coal 3,N3-20 c,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,13,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
coal 3,S2-16 x,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,
coal 3,S2-16 c,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,
coal 3,SSG3-8 x,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,2,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,
coal 3,SSG3-8 c,,,,,,,,,,,1,7,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,6,,,,,,,,3,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
coal 3,N7-1 x,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,7,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,
coal 3,N7-1 c,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,1,,,14,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
HE-10,N7-14 x,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,5,,,,,,,,,,,,1,,,,,,,,,,,,,,,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
HE-10,N7-14 c,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,7,,,,,,,,6,,,,,,,,,,,,,3,,,1,,,,,,,,,,,8,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,2,,,,,
HE-10,S7-1 x,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,
HE-10,S7-1 c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,9,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,1,1,,,,,
HE-10,N2-1 x,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,
HE-10,N2-1 c,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,7,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,14,1,,,,,2,,,,,
HE-10,N6-7 x,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,
HE-10,N6-7 c,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,13,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,
Rm-2,N6-12 x,,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Rm-2,N6-12 c,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,
Rm-2,S3-14 x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Rm-2,S3-14 c,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,7,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Rm-2,N4-4 x,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,1,,,,,,,,,2,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1
Rm-2,N4-4 c,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,8,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,17,2,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,6,,,,,,
Rm-2,S7-3x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rm-2,S7-3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,1,,,,,,,,,,,1,1,,2,,,,,,,,,,1,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,
T-15,S4-9 x,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
